Vorgangsnummer,Kategorie,Ort,Zustand,Erstellungsdatum,Letztes Bearbeitungsdatum,Eingangskanal
7mdhcm,Verkehrsverstöße,"Lachnerstraße 11, 76131 Karlsruhe",Behoben,2014-05-10T11:23:00+02:00,2014-05-10T11:23:00+02:00,MOBILE
ej8owe,KA-Feedback Nutzerumfrage,"Durlacher Allee 5, 76131 Karlsruhe",Eingetroffen,2014-05-09T17:25:00+02:00,2014-05-09T17:25:00+02:00,MOBILE
joxgjt,Beschilderung,"E35, 76137 Karlsruhe",Behoben,2014-05-09T17:20:00+02:00,2014-05-09T17:20:00+02:00,MOBILE
qr6xrj,Verunreinigungen,"Hans-Thoma-Straße 6, 76133 Karlsruhe",Behoben,2014-05-09T13:18:00+02:00,2014-05-09T13:18:00+02:00,MOBILE
okasne,KA-Feedback Nutzerumfrage,"Lameystraße 3, 76185 Karlsruhe",Eingetroffen,2014-05-09T09:57:00+02:00,2014-05-09T09:57:00+02:00,MOBILE
5vrhuw,Verkehrsverstöße,"Sophienstraße 83a, 76135 Karlsruhe",Behoben,2014-05-09T09:56:00+02:00,2014-05-09T09:56:00+02:00,MOBILE
1bikyh,Verunreinigungen,"Hans-Thoma-Straße 19, 76133 Karlsruhe",Behoben,2014-05-09T09:54:00+02:00,2014-05-09T09:54:00+02:00,MOBILE
lxajsw,Verunreinigungen,"Reinhold-Frank-Straße 74, 76133 Karlsruhe",Behoben,2014-05-09T09:52:00+02:00,2014-05-09T09:52:00+02:00,MOBILE
icexiz,Beschilderung,"Graf-Eberstein-Straße 24A, 76199 Karlsruhe",Eingetroffen,2014-05-09T09:27:00+02:00,2014-05-09T09:27:00+02:00,MOBILE
p451nu,Gefahrenstellen,"Kaiserallee 15C, 76133 Karlsruhe",Eingetroffen,2014-05-08T18:12:00+02:00,2014-05-08T18:12:00+02:00,MOBILE
nubid7,Gefahrenstellen,"Marie-Juchacz-Straße, 76137 Karlsruhe",Eingetroffen,2014-05-08T17:43:00+02:00,2014-05-08T17:43:00+02:00,MOBILE
0tuvz7,Verkehrsverstöße,"Raiherwiesenstraße 26, 76227 Karlsruhe",In Arbeit,2014-05-08T16:27:00+02:00,2014-05-08T16:27:00+02:00,MOBILE
bvt6zl,Gefahrenstellen,"Durlacher Allee 111, 76137 Karlsruhe",Behoben,2014-05-08T14:41:00+02:00,2014-05-08T14:41:00+02:00,MOBILE
a68nvw,Gefahrenstellen,"Knielinger Allee, 76133 Karlsruhe",Behoben,2014-05-08T11:45:00+02:00,2014-05-08T11:45:00+02:00,MOBILE
mefeyk,Gefahrenstellen,"Marie-Juchacz-Straße, 76137 Karlsruhe",Eingetroffen,2014-05-07T23:30:00+02:00,2014-05-07T23:30:00+02:00,MOBILE
pf949o,Gefahrenstellen,"Marie-Juchacz-Straße, 76137 Karlsruhe",Eingetroffen,2014-05-07T23:29:00+02:00,2014-05-07T23:29:00+02:00,MOBILE
jfaggu,Gefahrenstellen,"Kriegsstraße 28, 76131 Karlsruhe",Behoben,2014-05-07T19:42:00+02:00,2014-05-07T19:42:00+02:00,MOBILE
kcruw8,Gefahrenstellen,"Rintheimer Querallee 2-4, 76131 Karlsruhe",Behoben,2014-05-07T18:35:00+02:00,2014-05-07T18:35:00+02:00,MOBILE
ivnhs7,Gefahrenstellen,"Lassallestraße 13, 76187 Karlsruhe",Abgeschlossen,2014-05-07T18:15:00+02:00,2014-05-07T18:15:00+02:00,MOBILE
frkacw,Verkehrsverstöße,"Goethestraße 23, 76135 Karlsruhe",Eingetroffen,2014-05-07T17:55:00+02:00,2014-05-07T17:55:00+02:00,MOBILE
yo8yzm,Verkehrsverstöße,"Ebertstraße 18, 76137 Karlsruhe",Eingetroffen,2014-05-07T14:39:00+02:00,2014-05-07T14:39:00+02:00,MOBILE
egfuol,Verkehrsverstöße,"L623, 76228 Karlsruhe",Behoben,2014-05-07T11:17:00+02:00,2014-05-07T11:17:00+02:00,MOBILE
l9zxqa,KA-Feedback Nutzerumfrage,"Hans-Thoma-Straße 4, 76133 Karlsruhe",Eingetroffen,2014-05-07T11:08:00+02:00,2014-05-07T11:08:00+02:00,MOBILE
hgp24c,KA-Feedback Nutzerumfrage,"Hans-Thoma-Straße 4, 76133 Karlsruhe",Eingetroffen,2014-05-07T11:08:00+02:00,2014-05-07T11:08:00+02:00,MOBILE
xeqeln,KA-Feedback Nutzerumfrage,"Goethestraße 19, 76135 Karlsruhe",Eingetroffen,2014-05-06T21:48:00+02:00,2014-05-06T21:48:00+02:00,MOBILE
ntkiug,Verkehrsverstöße,"Adlerstraße 46, 76133 Karlsruhe",Behoben,2014-05-06T21:40:00+02:00,2014-05-06T21:40:00+02:00,MOBILE
85nlt1,Beschilderung,"Zipser Straße 24, 76227 Karlsruhe",Behoben,2014-05-06T21:05:00+02:00,2014-08-11T08:37:00+02:00,MOBILE
6kbhif,Verkehrsverstöße,"Zipser Straße 2, 76227 Karlsruhe",Behoben,2014-05-06T21:01:00+02:00,2014-05-06T21:01:00+02:00,MOBILE
4tjia3,KA-Feedback Nutzerumfrage,"Zipser Straße 6, 76227 Karlsruhe",Eingetroffen,2014-05-06T20:57:00+02:00,2014-05-06T20:57:00+02:00,MOBILE
jv6kje,Gefahrenstellen,"Rintheimer Querallee, 76149 Karlsruhe",Eingetroffen,2014-05-06T19:29:00+02:00,2014-05-06T19:29:00+02:00,MOBILE
s2dmrq,Verunreinigungen,"Markgrafenstraße 38, 76133 Karlsruhe",Behoben,2014-05-06T18:50:00+02:00,2014-05-06T18:50:00+02:00,MOBILE
e6cvep,Verkehrsverstöße,"B36, 76185 Karlsruhe",Behoben,2014-05-06T18:10:00+02:00,2014-05-06T18:10:00+02:00,MOBILE
5cmkoq,Verunreinigungen,"New-York-Straße 21, 76149 Karlsruhe",Behoben,2014-05-06T17:35:00+02:00,2014-05-06T17:35:00+02:00,MOBILE
decj2g,Verunreinigungen,"New-York-Straße 21, 76149 Karlsruhe",Behoben,2014-05-06T17:29:00+02:00,2014-05-06T17:29:00+02:00,MOBILE
xzogjc,Verunreinigungen,"New-York-Straße 21, 76149 Karlsruhe",Behoben,2014-05-06T17:18:00+02:00,2014-05-06T17:18:00+02:00,MOBILE
qylbmb,Verunreinigungen,"New-York-Straße 11-13, 76149 Karlsruhe",Eingetroffen,2014-05-06T17:14:00+02:00,2014-05-06T17:14:00+02:00,MOBILE
muqyou,Beschilderung,"Liststraße 22, 76185 Karlsruhe",Behoben,2014-05-06T16:45:00+02:00,2014-05-06T16:45:00+02:00,MOBILE
trcqk4,Verunreinigungen,"Weiherfeldstraße, Karlsruhe",In Arbeit,2014-05-06T14:00:00+02:00,2014-05-06T14:00:00+02:00,MOBILE
